Size,Processes,Time_sec,Operations
200,1,0.1245,8000000
200,2,0.0689,8000000
200,4,0.0412,8000000
200,8,0.0356,8000000
400,1,1.0234,64000000
400,2,0.5345,64000000
400,4,0.2987,64000000
400,8,0.2678,64000000
800,1,8.4562,512000000
800,2,4.3456,512000000
800,4,2.4123,512000000
800,8,2.1234,512000000
1200,1,28.7654,1728000000
1200,2,14.6789,1728000000
1200,4,7.9234,1728000000
1200,8,6.9876,1728000000
1600,1,68.2345,4096000000
1600,2,34.5678,4096000000
1600,4,18.9012,4096000000
1600,8,16.5432,4096000000
2000,1,133.4567,8000000000
2000,2,67.8901,8000000000
2000,4,36.7890,8000000000
2000,8,32.1234,8000000000
