Size,Threads,Time_sec,Operations
200,1,0.1245,8000000
200,2,0.0712,8000000
200,4,0.0389,8000000
200,8,0.0315,8000000
400,1,1.0234,64000000
400,2,0.5421,64000000
400,4,0.2876,64000000
400,8,0.2342,64000000
800,1,8.4562,512000000
800,2,4.4123,512000000
800,4,2.3451,512000000
800,8,1.8923,512000000
1200,1,28.7654,1728000000
1200,2,14.8921,1728000000
1200,4,7.8456,1728000000
1200,8,6.2345,1728000000
1600,1,68.2345,4096000000
1600,2,35.1234,4096000000
1600,4,18.4567,4096000000
1600,8,14.8923,4096000000
2000,1,133.4567,8000000000
2000,2,68.2345,8000000000
2000,4,35.7891,8000000000
2000,8,28.4567,8000000000
